2024.11.20 04:27:49 INFO  Started: Metals version 1.4.1 in folders '/Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission' for client Visual Studio Code 1.95.2.
2024.11.20 04:27:49 WARN  Flyway upgrade recommended: H2 2.3.232 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.224.
2024.11.20 04:27:51 INFO  running '/Users/zs_olef.x/Library/Application Support/Coursier/bin/sbt -Dbloop.export-jar-classifiers=sources bloopInstall'
2024.11.20 04:27:51 WARN  no build target for: /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/metals.sbt
2024.11.20 04:27:51 WARN  no build target for: /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/project/metals.sbt
2024.11.20 04:27:51 INFO  no build target found for /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/project/metals.sbt. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.20 04:27:52 INFO  [info] welcome to sbt 1.9.9 (Oracle Corporation Java 17.0.12)
2024.11.20 04:27:51 INFO  no build target found for /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/metals.sbt. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.20 04:27:52 INFO  [info] loading settings for project magnet_submission-build-build-build from metals.sbt ...
2024.11.20 04:27:53 INFO  [info] loading project definition from /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/project/project
2024.11.20 04:27:53 INFO  [info] loading settings for project magnet_submission-build-build from metals.sbt ...
2024.11.20 04:27:54 INFO  no build target found for /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/src/main/scala/kuplrg/Implementation.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.20 04:27:54 INFO  no build target found for /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/src/main/scala/kuplrg/Implementation.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.20 04:27:53 INFO  [info] loading project definition from /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/project
2024.11.20 04:27:55 INFO  [success] Generated .bloop/magnet_submission-build-build.json
2024.11.20 04:27:55 INFO  [success] Total time: 1 s, completed Nov 20, 2024, 4:27:55 AM
2024.11.20 04:27:55 INFO  no build target found for /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/src/main/scala/kuplrg/Implementation.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.20 04:27:55 INFO  [info] loading settings for project magnet_submission-build from metals.sbt,plugins.sbt ...
2024.11.20 04:27:55 INFO  [info] loading project definition from /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project
2024.11.20 04:27:56 INFO  [success] Generated .bloop/magnet_submission-build.json
2024.11.20 04:27:56 INFO  [success] Total time: 1 s, completed Nov 20, 2024, 4:27:56 AM
2024.11.20 04:27:56 INFO  [info] loading settings for project root from build.sbt ...
2024.11.20 04:27:57 INFO  [info] set current project to magnet (in build file:/Users/zs_olef.x/Work/Major/Programing%20Language/Assignments/magnet_submission/)
2024.11.20 04:27:57 INFO  [success] Generated .bloop/root-test.json
2024.11.20 04:27:57 INFO  [success] Generated .bloop/root.json
2024.11.20 04:27:57 INFO  [success] Total time: 0 s, completed Nov 20, 2024, 4:27:57 AM
2024.11.20 04:27:57 INFO  time: ran 'sbt bloopInstall' in 6.4s
2024.11.20 04:27:57 INFO  Attempting to connect to the build server...
2024.11.20 04:27:57 INFO  Found a Bloop server running
2024.11.20 04:27:57 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/.metals/bsp.trace.json or /Users/zs_olef.x/Library/Caches/org.scalameta.metals/bsp.trace.json
2024.11.20 04:27:57 INFO  Attempting to connect to the build server...
2024.11.20 04:27:57 INFO  Found a Bloop server running
2024.11.20 04:27:57 INFO  Attempting to connect to the build server...
2024.11.20 04:27:57 INFO  Found a Bloop server running
2024.11.20 04:27:57 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/project/.metals/bsp.trace.json or /Users/zs_olef.x/Library/Caches/org.scalameta.metals/bsp.trace.json
2024.11.20 04:27:57 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/zs_olef.x/Work/Major/Programing Language/Assignments/magnet_submission/project/.metals/bsp.trace.json or /Users/zs_olef.x/Library/Caches/org.scalameta.metals/bsp.trace.json
2024.11.20 04:27:57 INFO  time: Connected to build server in 0.27s
2024.11.20 04:27:57 INFO  Connected to Build server: Bloop v2.0.5
2024.11.20 04:27:57 INFO  running doctor check
2024.11.20 04:27:57 INFO  java targets: magnet_submission-build-build, root, magnet_submission-build, root-test
2024.11.20 04:27:59 WARN  Flyway upgrade recommended: H2 2.3.232 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.224.
2024.11.20 04:28:01 INFO  time: indexed workspace in 3.87s
2024.11.20 04:28:01 INFO  compiling root (4 scala sources)
2024.11.20 04:28:01 INFO  time: compiled root in 0.34s
2024.11.20 04:28:01 INFO  compiling root (4 scala sources)
2024.11.20 04:28:01 INFO  time: compiled root in 0.31s
2024.11.20 04:28:23 INFO  compiling root (4 scala sources)
2024.11.20 04:28:23 INFO  time: compiled root in 0.36s
2024.11.20 04:28:49 INFO  compiling root (4 scala sources)
2024.11.20 04:28:49 INFO  time: compiled root in 0.3s
2024.11.20 04:28:50 INFO  compiling root (4 scala sources)
2024.11.20 04:28:50 INFO  time: compiled root in 0.32s
2024.11.20 04:28:50 INFO  compiling root (4 scala sources)
2024.11.20 04:28:50 INFO  time: compiled root in 0.4s
2024.11.20 04:29:05 INFO  compiling root (4 scala sources)
2024.11.20 04:29:05 INFO  time: compiled root in 0.3s
2024.11.20 04:29:18 INFO  compiling root (4 scala sources)
2024.11.20 04:29:18 INFO  time: compiled root in 0.29s
2024.11.20 04:29:18 INFO  compiling root (4 scala sources)
2024.11.20 04:29:18 INFO  time: compiled root in 0.3s
2024.11.20 04:29:18 INFO  compiling root (4 scala sources)
2024.11.20 04:29:18 INFO  time: compiled root in 0.32s
2024.11.20 04:29:36 INFO  compiling root (4 scala sources)
2024.11.20 04:29:36 INFO  time: compiled root in 0.37s
2024.11.20 04:29:36 INFO  compiling root (4 scala sources)
2024.11.20 04:29:36 INFO  time: compiled root in 0.5s
2024.11.20 04:30:21 INFO  compiling root (4 scala sources)
2024.11.20 04:30:21 INFO  time: compiled root in 0.32s
2024.11.20 04:33:32 INFO  compiling root (4 scala sources)
2024.11.20 04:33:32 INFO  time: compiled root in 87ms
2024.11.20 04:33:45 INFO  compiling root (4 scala sources)
2024.11.20 04:33:45 INFO  time: compiled root in 0.33s
2024.11.20 04:37:15 INFO  compiling root (4 scala sources)
2024.11.20 04:37:15 INFO  time: compiled root in 0.32s
2024.11.20 04:37:25 INFO  compiling root (4 scala sources)
2024.11.20 04:37:25 INFO  time: compiled root in 0.32s
2024.11.20 04:37:29 INFO  compiling root (4 scala sources)
2024.11.20 04:37:29 INFO  time: compiled root in 0.3s
2024.11.20 04:37:32 INFO  compiling root (4 scala sources)
2024.11.20 04:37:32 INFO  time: compiled root in 0.29s
2024.11.20 04:37:40 INFO  compiling root (4 scala sources)
2024.11.20 04:37:40 INFO  time: compiled root in 0.29s
2024.11.20 04:37:40 INFO  compiling root (4 scala sources)
2024.11.20 04:37:40 INFO  time: compiled root in 0.34s
2024.11.20 04:37:42 INFO  compiling root (4 scala sources)
2024.11.20 04:37:42 INFO  time: compiled root in 0.3s
2024.11.20 04:37:55 INFO  compiling root (4 scala sources)
2024.11.20 04:37:55 INFO  time: compiled root in 0.32s
2024.11.20 04:38:01 INFO  compiling root (4 scala sources)
2024.11.20 04:38:01 INFO  time: compiled root in 0.3s
2024.11.20 04:38:02 INFO  compiling root (4 scala sources)
2024.11.20 04:38:02 INFO  time: compiled root in 0.29s
2024.11.20 04:38:02 INFO  compiling root (4 scala sources)
2024.11.20 04:38:02 INFO  time: compiled root in 0.31s
2024.11.20 04:38:02 INFO  compiling root (4 scala sources)
2024.11.20 04:38:02 INFO  time: compiled root in 0.36s
2024.11.20 04:38:02 INFO  compiling root (4 scala sources)
2024.11.20 04:38:04 INFO  time: compiled root in 0.35s
2024.11.20 04:38:08 INFO  compiling root (4 scala sources)
2024.11.20 04:38:08 INFO  time: compiled root in 0.33s
2024.11.20 04:40:06 INFO  compiling root (4 scala sources)
2024.11.20 04:40:06 INFO  time: compiled root in 0.32s
2024.11.20 04:40:06 INFO  compiling root (4 scala sources)
2024.11.20 04:40:06 INFO  time: compiled root in 0.3s
2024.11.20 04:40:06 INFO  compiling root (4 scala sources)
2024.11.20 04:40:07 INFO  time: compiled root in 0.32s
2024.11.20 04:40:10 INFO  compiling root (4 scala sources)
2024.11.20 04:40:10 INFO  time: compiled root in 0.3s
2024.11.20 04:40:10 INFO  compiling root (4 scala sources)
2024.11.20 04:40:10 INFO  time: compiled root in 0.3s
2024.11.20 04:40:10 INFO  compiling root (4 scala sources)
2024.11.20 04:40:10 INFO  time: compiled root in 0.32s
2024.11.20 04:40:38 INFO  compiling root (4 scala sources)
2024.11.20 04:40:38 INFO  time: compiled root in 0.3s
2024.11.20 04:40:38 INFO  compiling root (4 scala sources)
2024.11.20 04:40:38 INFO  time: compiled root in 0.34s
2024.11.20 04:40:38 INFO  compiling root (4 scala sources)
2024.11.20 04:40:39 INFO  time: compiled root in 0.36s
2024.11.20 04:40:41 INFO  compiling root (4 scala sources)
2024.11.20 04:40:41 INFO  time: compiled root in 0.3s
2024.11.20 04:40:41 INFO  compiling root (4 scala sources)
2024.11.20 04:40:41 INFO  time: compiled root in 0.29s
2024.11.20 04:40:56 INFO  compiling root (4 scala sources)
2024.11.20 04:40:56 INFO  time: compiled root in 0.29s
2024.11.20 04:40:59 INFO  compiling root (4 scala sources)
2024.11.20 04:40:59 INFO  time: compiled root in 0.28s
2024.11.20 04:41:05 INFO  Shutting down server
2024.11.20 04:41:05 INFO  shutting down Metals
2024.11.20 04:41:05 INFO  Shut down connection with build server.
2024.11.20 04:41:05 INFO  Shut down connection with build server.
2024.11.20 04:41:05 INFO  Shut down connection with build server.
2024.11.20 04:41:05 INFO  Exiting server
