불을	불/NNG+을/JKO
때고	때/VV+고/EM
밥을	밥/NNG+을/JKO
지어야	지/VV+어야/EM
하는	하/VV+는/ETM
연극이다.	연극/NNG+이/VCP+다/EM+./SF

선정	선정/NNG
기준에선	기준/NNG+에서/JKB+ㄴ/JX
수행	수행/NNG
실적을	실적/NNG+을/JKO
기존	기존/NNG
60점에서	60/SN+점/NNB+에서/JKB
40점으로	40/SN+점/NNB+으로/JKB
낮춘다.	낮추/VV+ㄴ다/EM+./SF

심명필	심명필/NNP
국토해양부	국토/NNG+해양부/NNG
4대강추진본부장은	4/SN+대/NNG+강/NNG+추진/NNG+본부장/NNG+은/JX
"전체	"/SS+전체/NNG
4대강	4/SN+대/NNG+강/NNG
공정률은	공정률/NNG+은/JX
23%이지만	23/SN+%/SW+이/VCP+지만/EM
보	보/NNG
공사의	공사/NNG+의/JKG
공정률은	공정률/NNG+은/JX
45%로	45/SN+%/SW+로/JKB
절반에	절반/NNG+에/JKB
가깝다”며	가깝/VA+다/EM+”/SS+며/EM
"이런	"/SS+이런/MM
상황에서	상황/NNG+에서/JKB
보	보/NNG
건설의	건설/NNG+의/JKG
중단은	중단/NNG+은/JX
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EM+./SF

김승현은	김승현/NNP+은/JX
2006년	2006/SN+년/NNB
정식	정식/NNG
계약과는	계약/NNG+과/JKB+는/JX
별도로	별도/NNG+로/JKB
매년	매년/MAG
10억5000만	10/SN+억/NR+5000/SN+만/NR
원씩,	원/NNG+씩/XSN+,/SP
5년간	5/SN+년/NNB+간/NNG
총	총/MM
52억5000만	52/SN+억/NR+5000/SN+만/NR
원을	원/NNB+을/JKO
받기로	받/VV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EM
KBL이	KBL/SL+이/JKS
인정하지	인정/NNG+하/XSV+지/EM
않는	않/VX+는/ETM
이	이/NP
같은	같/VA+은/ETM
뒷거래가	뒷거래/NNG+가/JKS
드러나	드러나/VV
이면계약	이면/NNG+계약/NNG
자체가	자체/NNG+가/JKS
없던	없/VA+던/ETM
일처럼	일/NNG+처럼/JKB
됐다.	되/VV+었/EP+다/EM+./SF

글로벌	글로벌/NNG
경기침체로	경기/NNG+침체/NNG+로/JKB
저렴한	저렴/NNG+하/XSA+ㄴ/ETM
주택을	주택/NNG+을/JKO
찾는	찾/VV+는/ETM
외국인이	외국인/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
데다	데/NNB+다/JX
외국인학교가	외국인/NNG+학교/NNG+가/JKS
서울	서울/NNP
곳곳에	곳곳/NNG+에/JKB
생기며	생기/VV+며/EM
주거	주거/NNG
선택권이	선택/NNG+권/XSN+이/JKS
다양해진	다양/NNG+하/XSA+아/EM+지/VX+ㄴ/ETM
게	게/EM
첫	첫/MM
번째	번/NNB+째/XSN
요인으로	요인/NNG+으로/JKB
꼽힌다.》	꼽히/VV+ㄴ다/EM+./SF+》/SS

예를	예/NNG+를/JKO
들어	들/VV+어/EM
패션에	패션/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
프랑스계	프랑스/NNP+계/XSN
업체	업체/NNG
직원들은	직원/NNG+들/XSN+은/JX
가족과	가족/NNG+과/JKB
함께	함께/MAG
한국에	한국/NNP+에/JKB
머물지	머물/VV+지/EM
않는	않/VX+는/ETM
이상	이상/NNG
굳이	굳이/MAG
프랑스학교가	프랑스/NNP+학교/NNG+가/JKS
위치한	위치/NNG+하/XSA+ㄴ/ETM
서래마을에	서래/NNP+마을/NNG+에/JKB
거주하려	거주/NNG+하/XSA+려/EM
하지	하/VV+지/EM
않는다.	않/VV+는다/EM+./SF

안희정	안희정/NNP
"금강물	"/SS+금/NNG+강물/NNG
끌어와	끌어오/VV+아/EM
가뭄	가뭄/NNG
대비”	대비/NNG+”/SS
MB에	MB/SL+에/JKB
제안	제안/NNG

법외노조	법/NNG+외/NNB+노조/NNG
처분	처분/NNG
취소	취소/NNG
소송의	소/NNG+송의/JKG
항소심을	항소심/NNG+을/JKO
맡은	맡/NNG+은/JX
서울고법	서울/NNP+고법/NNG
행정7부는	행정/NNG+7/SN+부/NNB+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
이	이/MM
처분의	처/NNG+분의/JKG
근거로	근거/NNG+로/JKB
쓰인	쓰이/VV+ㄴ/ETM
교원노조법	교원노조/NNP+법/NNG
2조에	2/SN+조/NNG+에/JKB
위헌	위헌/NNG
소지가	소지/NNG+가/JKS
있다며	있/VA+다며/EM
헌재에	헌재/NNP+에/JKB
위헌법률심판을	위헌/NNG+법률/NNG+심판/NNG+을/JKO
제청했다.	제청/NNG+하/XSV+았/EP+다/EM+./SF

[한겨레]	[/SS+한겨레/NNG+]/SS
“3.7%차로	“/SS+3/SN+./SP+7/SN+%/SW+차/NNG+로/JKB
군부쪽	군부/NNG+쪽/NNB
샤피끄	샤피끄/NNG
눌러”	눌르/VV+어/EM+”/SS

다만	다만/MAJ
박	박/NNP
의원은	의원/NNG+은/JX
“자기가	“/SS+자기/NP+가/JKS
투자한	투자/NNG+하/XSV+ㄴ/ETM
부분보다	부분/NNG+보다/JKB
과도하게	과도/NNG+하/XSA+게/EM
의결권을	의결권/NNG+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
바로잡아야	바로잡/VV+아야/EM
한다”며	하/VX+ㄴ다/EM+”/SS+며/EM
“신규	“/SS+신규/NNG
순환출자는	순환/NNG+출자/NNG+는/JX
금지해야	금지/NNG+하/XSV+아야/EM
한다”고	하/VX+ㄴ다/EM+”/SS+고/XPN
강조했다.	강조/NNG+하/XSV+았/EP+다/EM+./SF

강	강/NNG
회장은	회장/NNG+은/JX
“지금까지	“/SS+지금/NNG+까지/JX
아무런	아무런/MM
조처를	조처/NNG+를/JKO
하지	하/VV+지/EM
않다가	않/VX+다가/EM
이제야	이제야/MAG
불법	불법/NNG
운운하며	운운/NNG+하/XSA+며/EM
수사하는	수사/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
정치적	정치적/NNG
의도가	의도/NNG+가/JKS
있는	있/VA+는/ETM
것	것/NNB
아니냐”고	아니/VCP+냐/EM+”/SS+고/EM
말했다.	말/NNG+하/XSV+았/EP+다/EM+./SF

멜라니아는	멜라니아/NNP+는/JX
이어	이어/MAG
“자신의	“/SS+자신/NNG+의/JKG
성취를	성취/NNG+를/JKO
이루는	이루/VV+는/ETM
데	데/NNB
유일한	유일/NNG+하/XSA+ㄴ/ETM
한계는	한계/NNG+는/JX
꿈을	꿈/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노력과	노력/NNG+과/JKB
그것을	그것/NP+을/JKO
얻기	얻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
의지라는	의지/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
아이들은	아이/NNG+들/XSN+은/JX
알아야	알/VV+아야/EM
한다”고	하/VX+ㄴ다/EM+”/SS+고/EM
말했다.	말/NNG+하/XSV+았/EP+다/EM+./SF

김	김/NNP
후보자	후보자/NNG
측과	측/NNB+과/JKB
국토교통부가	국토/NNG+교통부/NNG+가/JKS
국회	국회/NNG
인사청문회	인사/NNG+청문회/NNG
위원인	위원/NNG+이/VCP+ㄴ/ETM
자유한국당	자유한국당/NNP
주광덕	주광덕/NNP
의원에게	의원/NNG+에게/JKB
낸	내/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면	보/VV+면/EM
김	김/NNP
후보자는	후보/NNG+자/XSN+는/JX
1998년	1998/SN+년/NNB
12월	12/SN+월/NNB
7일	7/SN+일/NNB
당시	당시/NNG
살던	살/VV+던/ETM
서울	서울/NNP
강동구	강동구/NNP
명일동	명일동/NNP
S아파트	S/SL+아파트/NNG
89㎡(27평형)를	89/SN+㎡/SW+(/SS+27/SN+평형/NNB+)/SS+를/JKO
1억1200만원에	1/SN+억/NR+1200/SN+만/NR+원/NNB+에/JKB
파는	파/VV+는/ETM
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EM+./SF

케이트	케이트/NNP
미들턴	미들턴/NNP
`웨딩드레스’	`/SS+웨딩드레스/NNG+’/SS
전세계	전/MM+세계/NNG
주목	주목/NNG

대학수학능력시험이	대학/NNG+수학/NNG+능력/NNG+시험/NNG+이/JKS
끝나면	끝나/VV+면/EM
19일	19/SN+일/NNB
경희대	경희대/NNP
서강대	서강대/NNP
한양대	한양대/NNP
등을	등/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
수시	수시/NNP
대학별	대학별/NNG
논술고사가	논술/NNG+고사/NNG+가/JKS
본격적으로	본격적/NNG+으로/JKB
실시된다.	실시/NNG+되/XSV+ㄴ다/EM+./SF

야후스포츠는	야후스포츠/NNP+는/JX
"팬들은	"/SS+팬/NNG+들/XSN+은/JX
벌써	벌써/MAG
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
슬램덩크	슬램/NNG+덩크/NNG
콘테스트	콘테스트/NNG
챔피언	챔피언/NNP
블레이크	블레이크/NNP
그리핀(클리퍼스)이	그리핀/NNP+(/SS+클리퍼스/NNP+)/SS+이/JKS
폴의	폴/NNG+의/JKG
그림	그림/NNG
같은	같/VA+은/ETM
패스를	패스/NNG+를/JKO
앨리웁	앨리웁/NNG
덩크로	덩크/NNG+로/JKB
