매복	매복/NNG
공격으로	공격/NNG+으로/JKB
정부	정부/NNG
군경	군경/NNG
75명이	75/SN+명/NNB+이/JKS
사망한	사망/NNG+한/XSV+ETM
6일,	6/SN+일/NNB+,/SP
치담바람(Chidambaram)	치담바람/NNP+(/SS+Chidambaram/SL+)/SS
내무장관은	내/MM+무/XPN+장관/NNG+은/JX
"덫에	"/SS+덫/NNG+에/JKB
걸린	걸린/VV+ETM
것	것/NP
같다"며	같/VA+다/EM+"/SS+며/EM
고개를	고개/NNG+를/JKO
떨어뜨렸다.	떨어뜨렸/VV+EP+다/EM+./SF

지난해	지난해/NNG
전남	전남/NNP
장흥	장흥/NNP
도의원	도/JX+의원/NNG
재보선에서	재/XPN+보선/NNG+에서/JKB
민주당	민주당/NNP
후보가	후보/NNG+가/JKS
민주노동당	민주/NNP+노동당/NNG
후보에게	후보/NNG+에게/JKB
패배하는	패배/NNG+하/XSV+는/ETM
등	등/NNG
이	이/MM
지역이	지역/NNG+이/JKS
언제나	언제나/MAG
안전지대가	안전/NNG+지대/NNG+가/JKS
될	될/VV+ETM
수	수/NNG
없다는	없/VA+다는/ETM
위기의식이	위기/NNG+의식/NNG+이/JKS
작용하고	작용/NNG+하/XSV+고/EM
있다.	있/VA+다/EM+./SF

[핀	[/SS+핀/NNG
포인트]축구	포인트/NNG+]/SS+축구/NNG
‘전북’	‘/SS+전북/NNP+’/SS
따로,	따로/MAG+,/SP
지자체	지자체/NNG
‘전북’	‘/SS+전북/NNP+’/SS
따로	따로/MAG

정부	정부/NNG
관계자는	관계자/NNG+는/JX
7일	7/SN+일/NNB
“그동안	“/SS+그동안/NNG
제기된	제기/NNG+된/XSV+ETM
각종	각종/NNG
의혹에	의혹/NNG+에/JKB
대해	대해/VV+EC
한미	한미/NNG
합동으로	합동/NNG+으로/JKB
장기간	장기간/NNG
면밀하게	면밀/NNG+하/XSA+게/EM
조사를	조사/NNG+를/JKO
벌였지만	벌였/VV+EP+지만/EM
고엽제	고엽제/NNG
매립	매립/NNG
사실을	사실/NNG+을/JKO
확인할	확인/NNG+할/XSV+ETM
수	수/NNG
있는	있/VA+는/ETM
증거를	증거/NNG+를/JKO
찾지	찾/VV+지/EM
못했다”고	못/MAG+했/VV+EP+다/EM+”/SS+고/JKQ
밝혔다.	밝혔/VV+EP+다/EM+./SF

백악관	백악관/NNG
“北위협	“/SS+北/NNG+위협/NNG
심각…	심각/NNG+…/SE
더	더/MAG
강력한	강력/NNG+한/XSA+ETM
제재”	제재/NNG+”/SS

“나도	“/SS+나/NP+도/JX
기자들	기자/NNG+들/XSN
접대…재수	접대/NNG+…/SE+재수/NNG
없으면	없/VA+으면/EM
걸린다”	걸린다/VV+EC+”/SS
/경찰청장이	//SP+경찰청/NNG+장이/XSN
‘성매매	‘/SS+성매매/NNG
발언’	발언/NNG+’/SS

안보리를	안보리/NNG+를/JKO
거치지	거치/VV+지/EM
않은	않/VV+은/ETM
채	채/MAG
6자회담에	6/SN+자회/NNG+담/NNG+에/JKB
가면	가/VV+면/EM
UEP	UEP/SL
문제가	문제/NNG+가/JKS
발목을	발목/NNG+을/JKO
잡을	잡/VV+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
판단에서다.	판단/NNG+에서/JKB+다/VCP+EF+./SF

김제남	김제남/NNP
정의당	정의당/NNG
의원도	의원/NNG+도/JX
“볼레오·암바토비	“/SS+볼레/NNG+오/NR+·/SP+암바토/NNP+비/XPN
사업들은	사업/NNG+들/XSN+은/JX
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
무리한	무리/NNG+한/XSA+ETM
성과주의	성과/NNG+주의/NNG
자원외교	자원/NNG+외교/NNG
정책이	정책/NNG+이/JKS
불러온	불러온/VV+ETM
참사”라고	참사/NNG+”/SS+라고/VCP+EC
꼬집었다.	꼬집/VV+었/EP+다/EM+./SF

“생존때	“/SS+생존/NNG+때/NNG
재산	재산/NNG
나누는	나누/VV+는/ETM
새	새/MM
트렌드”	트렌드/NNG+”/SS

공연계	공연계/NNG
'메르스	'/SS+메르스/NNP
타격'에	타격/NNG+'/SS+에/JKB
대한	대한/VV+ETM
정부의	정부/NNG+의/JKG
주요	주요/NNG
대책이었던	대책/NNG+이/VCP+었/EP+던/ETM
'1＋1	'/SS+1/SN+＋/SS+1/SN
티켓'	티켓/NNG+'/SS
사업이	사업/NNG+이/JKS
시작된	시작/NNG+된/XSV+ETM
지	지/NNG
한	한/MM
달	달/NNG
넘게	넘/VV+게/EM
지났지만,	지났/VV+EP+지만/EM+,/SP
당초	당초/NNG
취지만큼	취지/NNG+만큼/JKB
효과를	효과/NNG+를/JKO
